"","V1","V2"
"","284.806","92321"
"","285.305","92331"
"","285.807","92327"
"","286.306","92328"
"","286.809","92326"
"","287.308","92328"
"","287.809","92325"
"","288.308","92325"
"","288.811","92328"
"","289.31","92330"
"","289.812","92326"
"","290.311","92331"
"","290.813","92326"
"","291.312","92322"
"","291.814","92325"
"","292.313","92325"
"","292.816","92323"
"","293.315","92320"
"","293.816","92326"
"","294.315","92324"
"","294.818","92325"
"","295.317","92321"
"","295.819","92333"
"","296.318","92333"
"","296.82","92329"
"","297.319","92333"
"","297.821","92328"
"","298.32","92328"
"","298.822","92325"
"","299.321","92331"
"","299.823","92328"
"","300.322","92331"
"","300.824","92332"
"","301.323","92330"
"","301.826","92329"
"","302.325","92324"
"","302.826","92325"
"","303.325","92325"
"","303.828","92325"
"","304.326","92328"
"","304.829","92332"
"","305.327","92329"
"","305.83","92330"
"","306.328","92332"
"","306.831","92331"
"","307.329","92334"
"","307.833","92335"
"","308.331","92333"
"","308.833","92329"
"","309.331","92328"
"","309.835","92330"
"","310.333","92324"
"","310.836","92333"
"","311.334","92335"
"","311.837","92335"
"","312.335","92327"
"","312.837","92331"
"","313.336","92323"
"","313.839","92330"
"","314.338","92335"
"","314.839","92333"
"","315.338","92330"
"","315.841","92333"
"","316.34","92334"
"","316.842","92333"
"","317.341","92334"
"","317.843","92325"
"","318.342","92335"
"","318.844","92331"
"","319.343","92328"
"","319.846","92334"
"","320.345","92333"
"","320.846","92334"
"","321.345","92327"
"","321.848","92327"
"","322.347","92330"
"","322.849","92335"
"","323.348","92329"
"","323.85","92331"
"","324.349","92329"
"","324.85","92329"
"","325.35","92331"
"","325.852","92331"
"","326.351","92333"
"","326.853","92329"
"","327.352","92334"
"","327.854","92332"
"","328.353","92328"
"","328.856","92327"
"","329.355","92325"
"","329.856","92325"
"","330.355","92335"
"","330.858","92331"
"","331.357","92330"
"","331.859","92332"
"","332.358","92334"
"","332.86","92332"
"","333.359","92327"
"","333.861","92331"
"","334.36","92329"
"","334.863","92325"
"","335.362","92330"
"","335.863","92328"
"","336.362","92337"
"","336.865","92327"
"","337.364","92327"
"","337.866","92333"
"","338.365","92329"
"","338.867","92334"
"","339.366","92327"
"","339.868","92329"
"","340.366","92327"
"","340.87","92325"
"","341.368","92329"
"","341.87","92331"
"","342.368","92325"
"","342.872","92324"
"","343.37","92328"
"","343.873","92332"
